Debug results for cursor_motion:

Time (wall clock):
       Value     Percentile TotalCount 1/(1-Percentile)

10313727.000 0.000000000000          2           1.00
10919935.000 0.100000000000         87           1.11
11182079.000 0.200000000000        174           1.25
11313151.000 0.300000000000        261           1.43
11419647.000 0.400000000000        352           1.67
11509759.000 0.500000000000        431           2.00
11583487.000 0.550000000000        474           2.22
11657215.000 0.600000000000        517           2.50
11730943.000 0.650000000000        562           2.86
11812863.000 0.700000000000        608           3.33
11886591.000 0.750000000000        646           4.00
11927551.000 0.775000000000        674           4.44
11960319.000 0.800000000000        693           5.00
12025855.000 0.825000000000        711           5.71
12075007.000 0.850000000000        734           6.67
12115967.000 0.875000000000        757           8.00
12132351.000 0.887500000000        765           8.89
12156927.000 0.900000000000        775          10.00
12197887.000 0.912500000000        788          11.43
12230655.000 0.925000000000        797          13.33
12255231.000 0.937500000000        808          16.00
12271615.000 0.943750000000        814          17.78
12296191.000 0.950000000000        819          20.00
12320767.000 0.956250000000        824          22.86
12353535.000 0.962500000000        832          26.67
12361727.000 0.968750000000        835          32.00
12369919.000 0.971875000000        837          35.56
12378111.000 0.975000000000        840          40.00
12402687.000 0.978125000000        843          45.71
12419071.000 0.981250000000        845          53.33
12443647.000 0.984375000000        848          64.00
12451839.000 0.985937500000        849          71.11
12476415.000 0.987500000000        851          80.00
12484607.000 0.989062500000        852          91.43
12509183.000 0.990625000000        853         106.67
12541951.000 0.992187500000        855         128.00
12541951.000 0.992968750000        855         142.22
12550143.000 0.993750000000        856         160.00
12566527.000 0.994531250000        857         182.86
12566527.000 0.995312500000        857         213.33
12615679.000 0.996093750000        858         256.00
12615679.000 0.996484375000        858         284.44
12697599.000 0.996875000000        859         320.00
12697599.000 0.997265625000        859         365.71
12697599.000 0.997656250000        859         426.67
12820479.000 0.998046875000        860         512.00
12820479.000 0.998242187500        860         568.89
12820479.000 0.998437500000        860         640.00
12820479.000 0.998632812500        860         731.43
12820479.000 0.998828125000        860         853.33
13148159.000 0.999023437500        861        1024.00
13148159.000 1.000000000000        861
#[Mean    = 11540848.688, StdDeviation   =   468221.044]
#[Max     = 13148159.000, Total count    =          861]
#[Buckets =           20, SubBuckets     =         2048]



100% [------------------------------------------------------------] ETA: 00:00:00 | :dense_cells
Debug results for dense_cells:

Time (wall clock):
       Value     Percentile TotalCount 1/(1-Percentile)

18415615.000 0.000000000000          1           1.00
19120127.000 0.100000000000         53           1.11
19333119.000 0.200000000000        106           1.25
19496959.000 0.300000000000        152           1.43
19660799.000 0.400000000000        209           1.67
19791871.000 0.500000000000        260           2.00
19824639.000 0.550000000000        280           2.22
19906559.000 0.600000000000        305           2.50
19972095.000 0.650000000000        334           2.86
20037631.000 0.700000000000        357           3.33
20103167.000 0.750000000000        380           4.00
20135935.000 0.775000000000        392           4.44
20168703.000 0.800000000000        404           5.00
20201471.000 0.825000000000        418           5.71
20234239.000 0.850000000000        437           6.67
20267007.000 0.875000000000        443           8.00
20283391.000 0.887500000000        449           8.89
20316159.000 0.900000000000        459          10.00
20332543.000 0.912500000000        463          11.43
20381695.000 0.925000000000        472          13.33
20398079.000 0.937500000000        474          16.00
20414463.000 0.943750000000        479          17.78
20430847.000 0.950000000000        485          20.00
20430847.000 0.956250000000        485          22.86
20447231.000 0.962500000000        491          26.67
20447231.000 0.968750000000        491          32.00
20447231.000 0.971875000000        491          35.56
20479999.000 0.975000000000        494          40.00
20479999.000 0.978125000000        494          45.71
20529151.000 0.981250000000        497          53.33
20545535.000 0.984375000000        500          64.00
20545535.000 0.985937500000        500          71.11
20545535.000 0.987500000000        500          80.00
20545535.000 0.989062500000        500          91.43
20561919.000 0.990625000000        501         106.67
20611071.000 0.992187500000        502         128.00
20611071.000 0.992968750000        502         142.22
20611071.000 0.993750000000        502         160.00
20627455.000 0.994531250000        503         182.86
20627455.000 0.995312500000        503         213.33
20873215.000 0.996093750000        504         256.00
20873215.000 0.996484375000        504         284.44
20873215.000 0.996875000000        504         320.00
20873215.000 0.997265625000        504         365.71
20873215.000 0.997656250000        504         426.67
21168127.000 0.998046875000        505         512.00
21168127.000 1.000000000000        505
#[Mean    = 19739621.640, StdDeviation   =   454795.473]
#[Max     = 21168127.000, Total count    =          505]
#[Buckets =           20, SubBuckets     =         2048]



100% [------------------------------------------------------------] ETA: 00:00:00 | :light_cells
Debug results for light_cells:

Time (wall clock):
       Value     Percentile TotalCount 1/(1-Percentile)

 1571839.000 0.000000000000          1           1.00
 1597439.000 0.100000000000        517           1.11
 1694719.000 0.200000000000       1031           1.25
 1770495.000 0.300000000000       1559           1.43
 1794047.000 0.400000000000       2064           1.67
 1824767.000 0.500000000000       2584           2.00
 1844223.000 0.550000000000       2834           2.22
 1872895.000 0.600000000000       3098           2.50
 1911807.000 0.650000000000       3349           2.86
 1967103.000 0.700000000000       3606           3.33
 2040831.000 0.750000000000       3867           4.00
 2072575.000 0.775000000000       3993           4.44
 2107391.000 0.800000000000       4132           5.00
 2138111.000 0.825000000000       4258           5.71
 2164735.000 0.850000000000       4387           6.67
 2191359.000 0.875000000000       4508           8.00
 2205695.000 0.887500000000       4575           8.89
 2222079.000 0.900000000000       4638          10.00
 2238463.000 0.912500000000       4702          11.43
 2252799.000 0.925000000000       4767          13.33
 2269183.000 0.937500000000       4832          16.00
 2277375.000 0.943750000000       4867          17.78
 2287615.000 0.950000000000       4895          20.00
 2301951.000 0.956250000000       4929          22.86
 2310143.000 0.962500000000       4960          26.67
 2324479.000 0.968750000000       4995          32.00
 2328575.000 0.971875000000       5014          35.56
 2332671.000 0.975000000000       5023          40.00
 2340863.000 0.978125000000       5043          45.71
 2347007.000 0.981250000000       5060          53.33
 2353151.000 0.984375000000       5074          64.00
 2357247.000 0.985937500000       5080          71.11
 2363391.000 0.987500000000       5088          80.00
 2369535.000 0.989062500000       5098          91.43
 2371583.000 0.990625000000       5103         106.67
